Entity,Type,Superclass(es),ensure_fair_processing,validate_authenticity,submitts,has_half-life,'is_tagging_of -> data',has_cost,delends_on,defines_design_of,impact_assessments,ensure_accountability,implements,has_importance,validate_provenance,has_price,is_easy_to_collect,requires,minize_amount,is_easy_to_digitize,capture_records_of,classify_as,enforces_governance_of,defines_desirable,is_categorized_by,referential_integrity,to_notify,uses,ensure_accuracy,is_classified_by,discloses,provides_relational_search_service,ensures_referential_integrity,mandates,is_collected_by,is_compliant_with,provides_database_service,has_value,is_composed_of,'is_taxonomy_of ->  ML, AI',requires_compliance_with,is_secured_by,data_transfer,provides_referential_integrity,is_metadata_of,ensure_transparancy,being_notified,provides_fulltext_service,is_stored_in,'is managed by',ensure_integrity,has_capability,provides_index_service,monitors,consists_of,provides,ensure_lawfulness_processing,is_an_expense,has_obligations,limit_storage_period,is,designs,is_administered_by,specifies,has,'is_governed_by an IGProgram,',Classify,is_classiffied_by,is_retrieved,cooperation_with,is_specified_by,has_member,complies_with,be_appointed,requires_referential_integrity,comply_with_,is_searched_using,implements_relational_index_service,plan,is_governd_by,is_disposed_by,is_member_of,is_defined_by,handles,provides_fulltext_search_service,implements_fulltext_service,implements_database_service,is_responsible_for,requires_design_of,is_archived,provides_relational_index_service,implements_relational_search_service,avoids_orphan_contentobjects,is_hard_to,requires_twophase_commit_protocol,provides_catalog_service,limit_purpose,avoids_dangling_pointers,developes,provides_search_service,complies,provides_fulltext_index_service,is_obligated_to_esure,has_risk,has_maturity_level,align,analyze,appoint,approve,aquire,archive,assess,audit,backup,build,classify,communicate,conduct_inventory,control,convert,coordinate,correct,create,defines,defines_maturity,design,develop,distribute,ensure,establish,estimate,evaluate,governs,has_maturity,manage,measure,monitor,produces,profile,promote,test,validate,owl:topObjectProperty,risk,value,maturitylevel,cost,owl:topDataProperty,abstract,contributor,creator,description,issued,license,modified,publisher,references,rights,source,title,igso:isReferencedBy,contentLanguage,copyright,fileAbbreviation,fileAbstract,filename,relatedSpecification,rdfs:comment,rdfs:isDefinedBy,rdfs:label,'alternative label','change note',definition,'editorial note',example,skos:historyNote,note,'preferred label','scope note','construct regex','parse regex','actual expression','common designation','definition origin','has maturity level','preferred designation','term origin',abbreviation,acronym,'adapted from',copyright,'direct source','explanatory note','logical definition',symbol,synonym,'usage note',
align,ObjectProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'align'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Class,ARMA_Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'
						 L3 - Essential: The organization has identified all relevant compliance laws and regulations.Record creation and capture are systematically carried out in accordance with records management principles.The organization has a strong code of business conduct which is integrated into its overall information governance structure and recordkeeping policies.Compliance and the records that demonstrate it are highly valued and measurable.The hold process is integrated into the organization’s information management and discovery processes for the “most critical” systems.The organization has defined specific goals related to compliance
						 L4 - Proactive:
						 The organization has implemented systems to capture and protect records. Records are linked with the metadata used to demonstrate and measure compliance. Employees are trained appropriately and audits are conducted regularly. Records of the audits and training are available for review. Lack of compliance is remedied through implementation of defined corrective actions. The hold process is well-managed with defined roles and a repeatable process that is integrated into the organization’s information management and discovery processes. 
						 L5 - Transformational: The importance of compliance and the role of records and information in it are clearly recognized at the senior management and board levels. Auditing and continuous improvement processes are well-established and monitored by senior management. The roles and processes for information management and discovery are integrated. The organization’s stated goals related to compliance have been met.The organization suffers few or no adverse consequences based on information governance and compliance failures.'",,"'Compliance'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component,Class,DesignDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Component'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentCatalogCMP,Class,CatalogCMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ContentCatalogCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentComplianceService,Class,Capability	Acronym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'relates to business-critical content and compliance.'",,"'ContentComplianceService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentManagement,Class,InformationManagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ContentManagement'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentShareCMP,Class,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ContentShareCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentTransferCMP,Class,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ContentTransferCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentTransformationCMP,Class,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ContentTransformationCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAM,Class,PractitionerDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DAM'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMA,Class,PractitionerDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Digital Asset Management (DAM) refers to managing information, systems and processes that enable the management of assets from ideation to creation, curation, analysis and archiving. Has 4 Main categories and 15 Dimensions 56 Criteria'",,"'DAMA'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Class,Organizationdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Data'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataArchitectureManagement,Class,DesignDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataBaseFunction,Class,DataService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataBaseFunction'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataDevelopment,Class,DataBaseFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataImplementation,Class,DataDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataManagementControl,Class,DataBaseFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataManagementControl'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataManagementPlanning,Class,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataManagementPlanning'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataManagementSupervision,Class,DataService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataModelDesignManagement,Class,DataArchitectureManagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataModelDesignQuality,Class,DataArchitectureManagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQuality,Class,DesignDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQuality'",,,,,,,,,"'DataQualityDefects'",,"'DataQualityMetrics'	'DataQualityServiceLevel'",,"'OperationalDataQualityProcedures'",,,,,,,,,"'DataQualityIssues'","'DataQuality'","'DataQuality'	'DataQualityPerformance'",,,,,"'DataQualityRequirements'",,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQuality'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityAwereness,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityAwereness'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityBusinessRules,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityBusinessRules'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityDefects,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityDefects'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityIssues,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityIssues'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityManagement,Class,DataBaseFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQuality'",,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityRequirements'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityManagement'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityMetrics,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityMetrics'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityPerformance,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityPerformance'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityRequirements,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityRequirements'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataQualityServiceLevel,Class,DataQuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataQualityServiceLevel'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSecurityManagement,Class,DataBaseFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataSecurityManagement'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataTechnologyManagement,Class,DataBaseFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataTechnologyManagement'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DatabaseOperations,Class,DataService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DatabaseOperations'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DatabaseOperationsManagement,Class,DatabaseOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DatabaseSupport,Class,DatabaseOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DetailedDataDesign,Class,DataArchitectureManagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DisasterRecovery,Class,Non-FunctionalRequirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DisasterRecovery'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposition,Class,ARMA_Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'
							L3 - Essential:
							Official procedures for records disposition and transfer are developed. Official policy and procedures for suspending disposition have been developed. Although policies and procedures exist, they are not standardized across the organization. Individual departments have devised alternative procedures to suit their particular business needs. The organization has defined specific goals related to disposition
							L4 - Proactive: Disposition procedures are understood by all and are consistently applied across the enterprise.The process for suspending disposition due to legal holds is defined, understood, and used consistently across the organization. Electronic information is expunged, not just deleted, in accordance with retention policies.
							L5 - Transformational: The disposition process covers all records and information in all media.Disposition is assisted by technology and is integrated into all applications, data warehouses, and repositories. Disposition processes are consistently applied and effective.Processes for disposition are regularly evaluated and improved. The organization’s stated goals related to disposition have been met.'",,"'Disposition'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocumentManagement,Class,ContentManagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DocumentManagement'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMServiceLayerCMP,Class,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ECMServiceLayerCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMServicesLayerCMP,Class,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ECMServicesLayerCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMSolution,Class,Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ECMSolution'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,Class,Capability	Acronym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ECS'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDRM,Class,PractitionerDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'EDRM'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticity,Class,Non-FunctionalRequirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Elasticity'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise,Class,Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Enterprise'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnterpriseContentManagementSystem,Class,System,,,,,,,,,,,"'ContentManagement'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'RepositoryCMP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'EnterpriseContentManagementSystem'",,,,,,,,,,,,,,,,,,,,,,,,"'Repository is defined as:  
  - consists of at one or more Catalog 
     {has Domain: Catalog  
       has Range: ContentCatalog, ObjectCatalog, RecordsCatalog, DataSourcecatalog}
      Catalog is a DataSet 
      a Dataset is organized in a RelationalSchema
      a RelationalSchema is defined in a Database 
      and requires a Database
      a  Database is hosted on a RDBMS {PostgreSQL,DB2,Oracle,SQLServer,CockroachDB}
      a RDBMS consists at least of one or more ObjectServer
- consists of one or more ResourceManager is equivalent to an ObjectServer 
  a Resourcemanager consists of exact one ObjectCatalog 
   and one or more StorageServer	
  a StorageServer consists of one or more StorageSystems {BlockStorage, ObjectStore, HierarchicalStore}
- enforces ReferentialqIntegrity
   ReferentialqIntegrity prevents DanglingPointers and OrphanObjects
   ReferentialqIntegrity is implemented using TwoPhaseCommitProtocol
  TwoPhaseCommitProtocol is a Service 
   is provided by a TransactionManager {Transaction Coordinator, Resource  Manager}
  supports Functional Requirement {Collect, Load, Store, Categorize, Search, Archive, Hold, Displose, transfer}
  has Componnet  {collect, load, store, query, categorize, archive, hold, displose, transfer}
  fullfills Non-FunctionalRequirement {Backup,Restore, HighAvailability,DisasterRecovery,Performance,Scalability}
 - is located in Location: any country{}
- must comply with any regulation  
 Subclass CentralRepository: 
   consits of a Cluster: is local Repository:'",,,,
EnterpriseContentService,Class,Capability	Acronym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'EnterpriseContentService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executives,Class,Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Executives'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
